ticker,sector,industry,market_cap
CIM,Real Estate,REIT - Mortgage,924706752
CINF,Financial Services,Insurance - Property & Casualty,26253955072
CL,Consumer Defensive,Household & Personal Products,69413822464
CLF,Basic Materials,Steel,6638233600
CLS,Technology,Electronic Components,39981006848
CLX,Consumer Defensive,Household & Personal Products,10592346112
CMA,,,
CME,Financial Services,Financial Data & Stock Exchanges,99153985536
CMG,Consumer Cyclical,Restaurants,43644268544
CMI,Industrials,Specialty Industrial Machinery,73718636544
CMPX,Healthcare,Biotechnology,338565280
CMRC,Technology,Software - Application,307821152
CMS,Utilities,Utilities - Regulated Electric,20645918720
CNC,Healthcare,Healthcare Plans,33290323968
CNDT,Technology,Information Technology Services,254276512
CNH,Industrials,Farm & Heavy Construction Machinery,22892138496
CNI,Industrials,Railroads,73546760192
CNK,Communication Services,Entertainment,3975776512
CNM,Industrials,Industrial Distribution,7514228736
CNP,Utilities,Utilities - Regulated Electric,24952324096
CNQ,Energy,Oil & Gas E&P,106445553664
CNX,Energy,Oil & Gas E&P,5268272640
CNXC,Technology,Information Technology Services,1815906176
COF,Financial Services,Credit Services,126270521344
COGT,Healthcare,Biotechnology,5707236352
COHR,Technology,Scientific & Technical Instruments,52907999232
COIN,Financial Services,Financial Data & Stock Exchanges,47269023744
COMP,Real Estate,Real Estate Services,7741696000
COO,Healthcare,Medical Instruments & Supplies,10150490112
COP,Energy,Oil & Gas E&P,169785032704
COR,Healthcare,Medical Distribution,61549395968
CORZ,Technology,Software - Infrastructure,5196075008
COST,Consumer Defensive,Discount Stores,402506907648
COTY,Consumer Defensive,Household & Personal Products,2346443008
COUR,Consumer Defensive,Education & Training Services,1536313984
CP,Industrials,Railroads,78405074944
CPAY,Technology,Software - Infrastructure,27159437312
CPB,Consumer Defensive,Packaged Foods,6341355520
CPNG,Consumer Cyclical,Internet Retail,26935711744
CPRI,Consumer Cyclical,Luxury Goods,1624938880
CPRT,Industrials,Specialty Business Services,29019559936
CPT,Real Estate,REIT - Residential,11904831488
CR,Industrials,Specialty Industrial Machinery,11330892800
CRBG,Financial Services,Asset Management,15626419200
CRBU,Healthcare,Biotechnology,138297680
CRC,Energy,Oil & Gas E&P,5125796352
CRCL,Financial Services,Capital Markets,24219985920
CRH,Basic Materials,Building Materials,58734641152
CRI,Consumer Cyclical,Apparel Retail,1064257216
CRL,Healthcare,Diagnostics & Research,13177245696
CRM,Technology,Software - Application,214407954432
CROX,Consumer Cyclical,Footwear & Accessories,5384711168
CRS,Industrials,Metal Fabrication,20199079936
CRUS,Technology,Semiconductors,6228108800
CRWD,Technology,Software - Infrastructure,249131024384
CRWV,Technology,Software - Infrastructure,44999868416
CSCO,Technology,Communication Equipment,434236522496
CSGP,Real Estate,Real Estate Services,12662424576
CSL,Industrials,Building Products & Equipment,12896766976
CSTM,Basic Materials,Aluminum,3423430400
CSX,Industrials,Railroads,90095116288
CTAS,Industrials,Specialty Business Services,79989891072
CTRA,,,
CTSH,Technology,Information Technology Services,28954554368
CTVA,Basic Materials,Agricultural Inputs,56348041216
CVE,Energy,Oil & Gas Integrated,62566010880
CVNA,Consumer Cyclical,Auto & Truck Dealerships,74982023168
CVS,Healthcare,Healthcare Plans,121182445568
CVX,Energy,Oil & Gas Integrated,424853864448
CW,Industrials,Aerospace & Defense,20773408768
CWH,Consumer Cyclical,Auto & Truck Dealerships,374989216
CX,Basic Materials,Building Materials,14725329920
CYH,Healthcare,Medical Care Facilities,413862464
CYTK,Healthcare,Biotechnology,9553689600
CZR,Consumer Cyclical,Resorts & Casinos,6051168768
D,Utilities,Utilities - Regulated Electric,56509542400
DAL,Industrials,Airlines,51990360064
DAN,Consumer Cyclical,Auto Parts,3260649216
DAR,Consumer Defensive,Packaged Foods,10489159680
DASH,Consumer Cyclical,Internet Retail,86895738880
DBRG,Financial Services,Asset Management,2976487680
DBX,Technology,Software - Infrastructure,8275866624
DD,Basic Materials,Specialty Chemicals,16981654528
DDD,Technology,Computer Hardware,525024608
DDOG,Technology,Software - Application,82192269312
DDS,Consumer Cyclical,Department Stores,10121091072
DE,Industrials,Farm & Heavy Construction Machinery,185348554752
DECK,Consumer Cyclical,Footwear & Accessories,10615374848
DELL,Technology,Computer Hardware,347528888320
DEO,Consumer Defensive,Beverages - Wineries & Distilleries,48218832896
DG,Consumer Defensive,Discount Stores,27674169344
DGX,Healthcare,Diagnostics & Research,27171713024
DH,Healthcare,Health Information Services,111014496
DHI,Consumer Cyclical,Residential Construction,39219712000
DHR,Healthcare,Diagnostics & Research,146126192640
DHT,Energy,Oil & Gas Midstream,3568949248
DIDIY,Technology,Software - Application,16136908800
DIN,Consumer Cyclical,Restaurants,347620256
DINO,Energy,Oil & Gas Refining & Marketing,19836233728
DIS,Communication Services,Entertainment,185221693440
DKNG,Consumer Cyclical,Gambling,12294684672
DKS,Consumer Cyclical,Specialty Retail,11118043136
DLO,Technology,Software - Infrastructure,4296329216
DLR,Real Estate,REIT - Specialty,67186372608
DLTR,Consumer Defensive,Discount Stores,21320431616
DNA,Healthcare,Biotechnology,473402176
DNOW,Industrials,Industrial Distribution,2897093888
