formation,model,n,auc,base_rate,risky,safe,spread
2018-05-31,xgboost,49,0.5939655172413794,0.40816326530612246,0.0159958328749172,0.06059069112505764,-0.04459485825014044
2018-08-31,xgboost,50,0.601018675721562,0.38,0.02714985638457813,0.06502304585891981,-0.03787318947434168
2018-11-30,xgboost,50,0.5680147058823529,0.32,0.0339230315857272,0.10269505158175223,-0.06877201999602503
2019-02-28,xgboost,52,0.6235294117647059,0.3269230769230769,-0.008388407585787535,0.0734675042876982,-0.08185591187348573
2019-05-31,xgboost,54,0.6112637362637363,0.48148148148148145,-0.05110599865791779,0.030583487835649584,-0.08168948649356737
2019-08-31,xgboost,54,0.6071428571428571,0.48148148148148145,-0.06422902173918295,0.08188299723200995,-0.14611201897119291
2019-11-30,xgboost,54,0.7293956043956044,0.48148148148148145,-0.049317818935134955,0.15126520987911504,-0.20058302881425
2020-02-29,xgboost,56,0.5427841634738186,0.48214285714285715,-0.02908457039176496,0.06640734626840437,-0.09549191666016933
2020-05-31,xgboost,57,0.3171355498721228,0.40350877192982454,0.10478937479995164,-0.008849770082927411,0.11363914488287905
2020-08-31,xgboost,58,0.3619047619047619,0.4827586206896552,0.0772956965894822,-0.04068558373462377,0.11798128032410596
2020-11-30,xgboost,58,0.2941970310391363,0.6724137931034483,-0.01535638557178512,-0.09614928776649223,0.08079290219470711
2021-02-28,xgboost,59,0.23461538461538461,0.6610169491525424,0.03554507388600523,-0.15098777099857733,0.18653284488458255
2021-05-31,xgboost,61,0.24866310160427807,0.7213114754098361,0.01560886528369715,-0.23059607792765865,0.2462049432113558
2021-08-31,xgboost,65,0.15903890160183065,0.7076923076923077,0.07065152673400443,-0.211741832807269,0.2823933595412734
2021-11-30,xgboost,64,0.2545068928950159,0.640625,0.06974826064322596,-0.18441628515835826,0.2541645458015842
2022-02-28,xgboost,64,0.19692307692307692,0.609375,0.01669357682470045,-0.15441223049968505,0.17110580732438552
2022-05-31,xgboost,65,0.6328273244781784,0.5230769230769231,-0.043880185517302446,0.03549088890415594,-0.07937107442145838
2022-08-31,xgboost,66,0.4191729323308271,0.42424242424242425,-0.02420972127760679,0.004645956664322219,-0.028855677941929007
2022-11-30,xgboost,65,0.6216216216216216,0.4307692307692308,-0.022843343928312238,0.09379939074692768,-0.11664273467523992
2023-02-28,xgboost,64,0.6137931034482759,0.453125,0.06061947642890261,0.035759582829104165,0.024859893599798448
2023-05-31,xgboost,63,0.5280665280665281,0.4126984126984127,0.04511740330201089,0.06719854559383126,-0.02208114229182037
2023-08-31,xgboost,62,0.6614420062695925,0.532258064516129,-0.012703304659235899,0.004564977451054893,-0.017268282110290793
2023-11-30,xgboost,62,0.631633714880333,0.5,-0.007291368359337409,0.04619352242216209,-0.0534848907814995
2024-02-29,xgboost,62,0.6306878306878307,0.5645161290322581,-0.010516634650597302,0.022575023696736845,-0.033091658347334144
2024-05-31,xgboost,62,0.667016806722689,0.45161290322580644,-0.0065915811181170595,0.06572350507923813,-0.07231508619735519
2024-08-31,xgboost,63,0.6306122448979592,0.4444444444444444,-0.02696944614240657,0.1592242399472425,-0.18619368608964906
2024-11-30,xgboost,63,0.45161290322580644,0.5079365079365079,0.024461484843434692,0.05494600444599299,-0.0304845196025583
2025-02-28,xgboost,63,0.4677754677754678,0.5873015873015873,0.04384806391408495,0.028095233983307967,0.015752829930776986
2025-05-31,xgboost,63,0.475,0.6349206349206349,-0.04434452798539438,0.0031843630197972875,-0.04752889100519166
