slug,name,manager,style_name,period,n_positions,hhi,top1_w,top10_w,turnover,new_frac,sold_frac,book_growth,crowding,excess_12,excess_36,vol_12,mdd_12,alpha36_t,p_persist,p_logistic,p_xgboost,rank_xgboost,rank_logistic,rank_persist
duquesne,Duquesne Family Office,Stanley Druckenmiller,Family office,2026-03-31,4.174387269895637,0.06603006880122275,0.2085989516446432,0.5920426178650756,0.4332163841622261,0.46153846153846156,0.39655172413793105,-0.3623971560499624,7.463260578542898,0.1065190340772032,0.9945683049371579,0.15839321539394327,-0.0707444798686041,2.3086762287590243,0.208955223880597,0.6668061714539667,0.5714808702468872,21,8,54
glenview,Glenview Capital,Larry Robbins,Long/short equity,2026-03-31,3.713572066704308,0.0630130020198557,0.15935548764614027,0.6358340856898775,0.24226534507035524,0.14634146341463414,0.35185185185185186,-0.23967290220319867,10.235302469105344,0.020943731626008155,-0.11177027014377927,0.19582427449466275,-0.07831594007591713,-1.332406143314278,0.31343283582089554,0.5765162937741735,0.5648593902587891,22,17,47
hound,Hound Partners,Jonathan Auerbach,Long/short equity,2026-03-31,3.5263605246161616,0.08342997747270303,0.14746984221501225,0.7968483230896277,0.299844376392182,0.3235294117647059,0.3611111111111111,0.0939295772325342,10.39844217498777,-0.02730092401742723,0.2434182191202705,0.1704436298309582,-0.08755072552377063,1.1392123190810368,0.40298507462686567,0.440165207264366,0.5606951117515564,23,56,41
kingdon,Kingdon Capital,Mark Kingdon,Long/short equity,2026-03-31,3.9512437185814275,0.03207012980777702,0.09779948479767296,0.4245251717787663,0.3771704046918546,0.38461538461538464,0.43859649122807015,-0.09014382145650032,6.487614952911557,0.21969225485149496,0.3839116537471807,0.16487207269453066,-0.08338269845704283,1.2466890792668508,0.13432835820895522,0.5428484266705572,0.5599097609519958,24,28,59
sands,Sands Capital,Frank Sands,Concentrated long / value,2026-03-31,4.204692619390966,0.04353073035791769,0.1237562218129106,0.5237273739299453,0.12412568226383058,0.13432835820895522,0.12121212121212122,-0.2545558049810299,18.310261248541146,-0.242590799194898,-0.23238215378458627,0.17513927596450432,-0.1887947176696816,-1.406309867694729,0.8507462686567164,0.5100569289387469,0.5557880997657776,25,37,11
paulson,Paulson & Co,John Paulson,Event-driven / credit,2026-03-31,2.1972245773362196,0.18907493990758667,0.2923261766981246,1.0,0.12098399575954477,0.1111111111111111,0.1111111111111111,-0.047198278504136396,2.9454573247727094,0.6791673821613713,0.7273339102498408,0.3350859273268729,-0.05108322042242275,1.1762956074792705,0.029850746268656716,0.7140040720903257,0.5464302897453308,26,4,66
sachem-head,Sachem Head Capital,Scott Ferguson,Activist,2026-03-31,2.9444389791664403,0.06966081057210102,0.11900395733322706,0.7544116673508133,0.36725801069272934,0.3684210526315789,0.4,-0.027088821453948236,7.268682518853245,0.2214105566443449,0.548575154434382,0.19051955326929543,-0.0700187125960623,0.4064012555409684,0.11940298507462686,0.6057785250743769,0.5456734895706177,27,14,60
d1,D1 Capital Partners,Daniel Sundheim,Long/short equity,2026-03-31,3.784189633918261,0.032025474679024515,0.07523006973685566,0.42549181991345186,0.34163848361772464,0.36363636363636365,0.3333333333333333,0.04838095106305531,10.800238263986504,-0.09714720072906699,0.16487041238459121,0.1465504119564615,-0.07611391355149144,0.10942257183248325,0.5671641791044776,0.5594528049944034,0.5377521514892578,28,24,30
whale-rock,Whale Rock Capital,Alex Sacerdote,Long/short equity,2026-03-31,3.5553480614894135,0.042769878863640934,0.09923556737749879,0.5140424052449414,0.30387122873486627,0.3142857142857143,0.25,-0.010021195384126519,13.9417157613688,0.5108805208610905,1.8648194223075796,0.31436426762171665,-0.1142378744555701,2.978108261788226,0.04477611940298507,0.8052390035687707,0.5221067070960999,29,1,65
gotham,Gotham Asset Management,Joel Greenblatt,Long/short equity,2026-03-31,7.466799475018602,0.03454044316682431,0.179366459026829,0.2755525217614418,0.13806327030408094,0.09090909090909091,0.07504363001745201,0.17582809793423196,6.933899126623464,0.07192589562631596,0.13928603926975147,0.14061026227748816,-0.05401489161449735,1.8759282249474931,0.26865671641791045,0.5338978877278447,0.5147014856338501,30,30,50
