formation,managers,n_ALL,priced_ALL,n_BEST1,priced_BEST1,n_BEST3,priced_BEST3,n_CROWD_LO,priced_CROWD_LO,n_CROWD_HI,priced_CROWD_HI,turnover_ALL,turnover_BEST1,turnover_BEST3,turnover_CROWD_LO,turnover_CROWD_HI,n_NEW,priced_NEW,n_ADD,priced_ADD,n_CUT,priced_CUT,n_SOLD,priced_SOLD,turnover_NEW,turnover_ADD,turnover_CUT,turnover_SOLD
2018-08-31,80,1582,0.9807811531308122,43,0.984375,102,0.9781420765027325,318,0.9845201238390094,316,0.9813664596273289,0.13298526121446697,0.28277373583122545,0.2753305632755568,0.5265936817812047,0.19716125174509955,711.0,0.9800543970988214,602.0,0.9730994152046782,670.0,0.9896694214876032,788.0,0.9798319327731095,0.6765292929083362,0.5669147939143849,0.5574486133179382,0.6367860475686378
2018-11-30,78,1572,0.9812734082397001,40,0.9655172413793104,118,0.9732620320855614,316,0.984423676012461,314,0.98125,0.13420823844635177,0.32369898382545415,0.2628455312304403,0.5656206211694528,0.20801668103825333,689.0,0.9854771784232365,604.0,0.9841269841269841,581.0,0.978468899521531,720.0,0.9844660194174757,0.6798306590364209,0.5601593311199786,0.5489105366510346,0.6813690816643363
2019-02-28,78,1639,0.9820251647693232,47,0.9841269841269837,122,0.9950248756218907,328,0.9820359281437125,326,0.978978978978979,0.13267219601564018,0.3510100186640994,0.24253468021861457,0.600202861110847,0.2258734165831806,852.0,0.9809760132340778,659.0,0.9868995633187772,621.0,0.9875,677.0,0.9765853658536585,0.6978260328927727,0.547925667621909,0.5441952479910983,0.6633545804922315
2019-05-31,77,1723,0.9812072892938498,50,0.9692307692307691,124,0.9850746268656716,345,0.9801136363636366,344,0.9800569800569803,0.13125367836266674,0.4261499820882774,0.2473709925836277,0.5287961141232652,0.2225483566833351,774.0,0.9773716275021759,649.0,0.9850057670126875,699.0,0.9835560123329907,623.0,0.9882075471698113,0.7014984139661846,0.5837552316978163,0.5504383380301676,0.6619052348524663
2019-08-31,76,1677,0.981275599765945,48,0.9692307692307693,120,0.9849246231155777,336,0.9824561403508771,336,0.9853372434017598,0.1384232003036075,0.35301276117751973,0.24189434176421326,0.60368511493754,0.23297219586134632,708.0,0.9854545454545455,772.0,0.9870009285051069,648.0,0.9844789356984478,811.0,0.9790718835304826,0.6820272394503206,0.554090980817004,0.5590444065046252,0.7034512875309135
2019-11-30,77,1740,0.9802816901408449,46,0.96875,121,0.9902439024390245,349,0.9830985915492958,348,0.9802816901408451,0.126079162010777,0.2645118516561233,0.2471159921353655,0.5309813834884327,0.20985087551789625,814.0,0.9800520381613183,642.0,0.983853606027987,664.0,0.9834437086092717,694.0,0.984,0.6877133367224086,0.5336964971887945,0.5710208837243429,0.6884547874270374
2020-02-29,79,1773,0.9800995024875623,54,0.9459459459459458,130,0.9814814814814814,356,0.9834254143646408,355,0.9833795013850417,0.1368315389498575,0.37664822212998206,0.20203142446210165,0.5545136253483032,0.19586152729197712,890.0,0.9826676714393368,710.0,0.9876033057851241,740.0,0.9843173431734316,727.0,0.9820717131474103,0.6462939419871829,0.5612466234363593,0.5669762693228939,0.6860680013297404
2020-05-31,79,1765,0.981646273637375,47,0.9714285714285712,125,0.9813953488372091,351,0.975,354,0.9860724233983287,0.1716419271983057,0.4187106702058415,0.2674260843047158,0.625223700886242,0.2512182004020453,939.0,0.9862353750860288,799.0,0.9834983498349833,789.0,0.9898045879354289,957.0,0.9773333333333332,0.6125646183991522,0.5779438390171254,0.5130105592878529,0.681892290166864
2020-08-31,78,1792,0.9824561403508771,52,0.9718309859154928,125,0.9859813084112146,356,0.9753424657534244,358,0.9835164835164836,0.14871553581753208,0.3433091951649795,0.2978789856868622,0.5734886852063317,0.22329378868785096,925.0,0.980106100795756,700.0,0.986460348162476,810.0,0.9877149877149877,889.0,0.9828358208955226,0.6135805880791356,0.5297384234440655,0.4953023890716389,0.6239803255553759
2020-11-30,78,1805,0.9841875681570338,54,0.9729729729729729,132,0.9907834101382487,361,0.9836512261580378,361,0.9863387978142076,0.13898928509265338,0.31039386483913683,0.25049812747463723,0.5209686809187477,0.2259362405018428,804.0,0.99122106943336,707.0,0.9821782178217823,768.0,0.9877515310586178,807.0,0.9838854073410923,0.675091394733179,0.549718536825302,0.49446625293436375,0.6674038317112244
