slug,name,manager,cells,factor_set,quantities,max_abs_diff,max_rel_diff,agree,worst_quantity,ff3_alpha_r,ff3_alpha_python,ff3_t_r,ff3_t_python,score_r,score_python
oaktree,Oaktree Capital,Howard Marks,44,US,51,1.3988810110277e-13,5.33677199727899e-13,True,t_alpha (FF5),0.126779301939863,0.126779301939862,2.5264189576859,2.52641895768588,100.0,100.0
paulson,Paulson & Co,John Paulson,71,US,51,8.659739592076221e-15,2.4111245855231302e-14,True,t_alpha (FF5),0.0345219727216733,0.0345219727216736,0.306615872612351,0.306615872612354,26.2280120429763,26.2280120429763
pershing-square,Pershing Square,Bill Ackman,125,US,51,2.20268248085631e-13,1.14856276037336e-12,True,alpha-maxing score,0.0013304731106935,0.0013304731106934,0.0407597508212623,0.0407597508212597,51.5554719294144,51.5554719294146
point72,Point72 Asset Management,Steve Cohen,101,US,51,3.44779760297342e-13,3.28173421926005e-12,True,t_alpha (FF5),0.0030584085183906,0.0030584085183918,0.150028839408881,0.150028839408944,49.332775750849,49.3327757508492
polen,Polen Capital,Dan Davidowitz,155,US,51,4.40536496171262e-13,4.92800382733855e-13,True,alpha-maxing score,-0.0076300194960895,-0.0076300194960893,-0.363017927028765,-0.363017927028753,48.2383089542655,48.238308954265
pzena,Pzena Investment Management,Rich Pzena,155,US,51,2.23820961764432e-13,1.92541015172012e-13,True,alpha-maxing score,-0.0248028593103997,-0.0248028593103995,-1.45899365031157,-1.45899365031156,22.3236259335777,22.3236259335775
renaissance,Renaissance Technologies,Jim Simons (quant),155,US,51,2.1316282072802998e-13,3.48637729083203e-13,True,alpha-maxing score,0.0334329431897257,0.0334329431897258,2.06908711865339,2.0690871186534,72.1330538244671,72.1330538244668
ruane-cunniff,"Ruane, Cunniff & Goldfarb (Sequoia)",Sequoia Fund,125,US,51,2.20268248085631e-13,2.3784768176655997e-13,True,alpha-maxing score,-0.0131785248866654,-0.0131785248866654,-0.74592163660237,-0.74592163660237,40.1347051290499,40.1347051290497
sachem-head,Sachem Head Capital,Scott Ferguson,74,US,51,3.9968028886505604e-14,1.74985259246989e-13,True,t_alpha (FF5),-0.0322501480456412,-0.0322501480456408,-0.536826269184068,-0.536826269184062,76.6474849657832,76.6474849657832
sands,Sands Capital,Frank Sands,155,US,51,2.20268248085631e-13,2.2672133266203899e-13,True,alpha-maxing score,-0.0144205233275205,-0.0144205233275202,-0.527853868970312,-0.527853868970303,41.3581856572127,41.3581856572125
sculptor,Sculptor (Och-Ziff),Jimmy Levin,101,US,51,2.56572540990874e-13,3.4705211770344697e-13,True,t_alpha (FF5),0.0237101573857127,0.0237101573857141,0.792115786947311,0.792115786947359,71.0281290678918,71.0281290678918
semper-augustus,Semper Augustus,Chris Bloomstran,155,US,51,2.20268248085631e-13,8.07828064592618e-14,True,alpha-maxing score,0.0259457178494828,0.025945717849483,1.2234569069501,1.22345690695011,60.1248932841949,60.1248932841946
senator,Senator Investment Group,Doug Silverman,104,US,51,2.8199664825478996e-13,1.08928475903895e-12,True,t_alpha (FF5),-0.0514115944727882,-0.0514115944727882,-2.17163170957928,-2.17163170957928,0.0,0.0
soroban,Soroban Capital,Eric Mandelblatt,125,US,51,1.2179146580138e-13,1.68085223952378e-13,True,t_alpha (FF5),-0.0171100282330329,-0.017110028233033,-0.795322943108845,-0.79532294310885,38.042153524991,38.042153524991
southeastern,Southeastern Asset Management (Longleaf),Mason Hawkins,101,US,51,2.1049828546892998e-13,1.2799367506427899e-12,True,t_alpha (FF5),-0.0589137529889861,-0.0589137529889848,-2.00069854034748,-2.00069854034744,0.0,0.0
srs,SRS Investment Management,Karthik Sarma,128,US,51,2.27373675443232e-13,8.595841271405491e-14,True,alpha-maxing score,0.0412549176101742,0.041254917610175,0.620889696541903,0.620889696541916,98.6990937824872,98.6990937824869
starboard,Starboard Value,Jeffrey Smith,77,US,51,1.99396055222678e-13,7.72775405974327e-13,True,t_alpha (FF5),-0.0579719324360011,-0.0579719324360005,-2.05917809791331,-2.0591780979133,0.0,0.0
steadfast,Steadfast Capital,Robert Pitts,125,US,51,1.23789867245705e-13,1.66568242737144e-13,True,t_alpha (FF5),-0.0205671436037987,-0.0205671436037987,-0.785404932217137,-0.785404932217137,32.7963416281187,32.7963416281187
suvretta,Suvretta Capital,Aaron Cowen,137,US,51,2.20268248085631e-13,7.99320938328823e-13,True,alpha-maxing score,-0.0006685715651786,-0.000668571565178,-0.0204789995574464,-0.02047899955743,36.6245874129636,36.6245874129638
tci,TCI Fund Management,Chris Hohn,92,US,51,2.64899213675562e-13,4.23503660756964e-13,True,t_alpha (FF5),0.0270037875090579,0.0270037875090577,1.06282099518463,1.06282099518463,85.7476433668476,85.7476433668476
third-avenue,Third Avenue Management,Marty Whitman legacy,131,US,51,2.20268248085631e-13,1.65056814099896e-13,True,alpha-maxing score,-0.0180840786913579,-0.0180840786913581,-0.627242596041252,-0.627242596041258,11.4649556340271,11.4649556340273
third-point,Third Point,Daniel Loeb,122,US,51,9.82547376793264e-14,1.4496599724281199e-13,True,t_alpha (FF5),-0.0290443531710898,-0.0290443531710899,-0.984470778956817,-0.984470778956822,0.0,0.0
tiger-global,Tiger Global Management,Chase Coleman,131,US,51,1.02140518265514e-13,1.57060171547395e-13,True,t_alpha (FF5),0.0108525747382429,0.0108525747382426,0.295451710039352,0.295451710039344,52.9686062149543,52.9686062149543
tiger-management,Tiger Management (Robertson),Julian Robertson (family office),80,US,51,3.53272966435725e-13,1.32824504385745e-12,True,t_alpha (FF5),-0.0025228997067285,-0.0025228997067284,-0.0772933003348221,-0.0772933003348201,60.1264304746411,60.1264304746411
trian,Trian Fund Management,Nelson Peltz,80,US,51,2.20268248085631e-13,3.48794459979383e-13,True,alpha-maxing score,-0.0106751822389475,-0.0106751822389475,-0.379106047044252,-0.379106047044251,5.99475670940826,5.99475670940804
tweedy-browne,"Tweedy, Browne","Tweedy, Browne partners",155,US,51,4.40536496171262e-13,1.1152998694278999e-13,True,alpha-maxing score,-0.0256462579486986,-0.0256462579486985,-1.39150442469367,-1.39150442469366,7.22128794462446,7.22128794462402
two-sigma,Two Sigma Investments,Overdeck / Siegel (quant),155,US,51,2.20268248085631e-13,1.6843591207577e-13,True,alpha-maxing score,0.0076142552855603,0.0076142552855605,0.581231696238296,0.581231696238313,62.7409253991211,62.7409253991209
valinor,Valinor Management,David Gallo,47,US,51,2.27373675443232e-13,8.211785005627159e-12,True,alpha-maxing score,-0.0790827300213269,-0.0790827300213268,-2.1138182908415,-2.1138182908415,17.3978962254792,17.397896225479
valueact,ValueAct Capital,Mason Morfit,155,US,51,2.20268248085631e-13,1.0843687557698299e-13,True,alpha-maxing score,-0.0217053037524815,-0.0217053037524813,-0.663861592952898,-0.663861592952891,45.0101853175839,45.0101853175837
viking,Viking Global Investors,Andreas Halvorsen,122,US,51,2.20268248085631e-13,2.09941572255597e-13,True,alpha-maxing score,0.0131955854296785,0.0131955854296783,0.522949624785005,0.522949624784998,52.0952317289749,52.0952317289746
whale-rock,Whale Rock Capital,Alex Sacerdote,125,US,51,1.35447209004269e-13,5.11514502735612e-13,True,t_alpha (FF5),0.102814853530229,0.102814853530229,2.6475466863544,2.64754668635439,100.0,100.0
winton,Winton Group,David Harding (quant),143,US,51,2.23820961764432e-13,1.90259642102741e-13,True,alpha-maxing score,-0.0078742677078871,-0.0078742677078871,-0.529268311897538,-0.52926831189754,29.8763708911811,29.8763708911813
yacktman,Yacktman Asset Management,Stephen Yacktman,156,US,51,2.20268248085631e-13,1.62538592520563e-13,True,alpha-maxing score,0.0123664244746049,0.0123664244746047,0.758273661296027,0.758273661296019,45.8553728213317,45.855372821332
